"","score","text"
"1",1,"oh my well then https …"
"2",1,"oh my well then"
"3",-1,"did she accuse you of being in a ideology that s what staff do lately lol"
"4",1,"we love our kittens cats in our household"
"5",2,"if you have a conviction but then it offends a self righteous minority so you dilute your conviction it turns into an ideal…"
"6",0,"starting to get very old just repair the lines already"
"7",2,"glad telstra has explained their step back from equality isn t a step back from equality hot tip it is"
"8",4,"great night with our best and brightest and their mentors mayors technology awards"
"9",-2,"dear if you want to avoid controversial issues consider cutting your commercial ties w an institution that covers…"
"10",1,"well we now know old male child rapists have more power than the australian people in a publicly listed company"
"11",-1,"how about we organise a consumer boycott of for bowing to the medieval bigots and child abusers of the catholic chu…"
"12",2,"so still supports but will no longer publicly participate in the debate how useful ht…"
"13",0,"yikes"
"14",0,"in trying to appease both gays and catholics isn t assuming there is no overlap between the two"
"15",1,"continues to excel itself in sheer incompetence good job"
"16",2,"so still supports but will no longer publicly participate in the debate how useful"
"17",0,"catholic church silences on same sex marriage"
"18",1,"a great day on the for at"
"19",-2,"poor business decision tip for the future dont alienate your customers if you have any left"
"20",-1,"if had balls they would have told the archbishop of syd amp the catholic church to politely fuck off"
"21",2,"i wonder how the employees of feel about s decision to withdraw from supporting divers…"
"22",0,""
"23",2,"i wonder how the employees of feel about s decision to withdraw from supporting diversity my arse ed u a u bd ed u b u"
"24",0,"you suck and and right wing nuts"
"25",-1,"poor form"
"26",-2,"one assumes that the men you employ are aware that raping children is illegal"
"27",-1,"former chairwoman struck deal w catholic church to stop campaigning marriage equality"
"28",1,"ceo we support it just staying out of it 

bruce springsteen screw the money i have principles 

note the d…"
"29",0,"my piece on in australian corporations and and"
"30",1,"let s not forget do you support marriage equality unlike your counterpart"
"31",-1,"denies catholic pressure forced it to abandon marriage equality campaign"
"32",0,"cto if everyone stops talking about maybe some of it can actually get done"
"33",0,"and owns"
"34",0,"given the telstra troubles we have all been having shouldn t you be giving away free movie tickets"
"35",-2,"hell of a way to come back from those pr troubles you ve been having lately"
"36",0,"huge mistake the lgbti community have a lot of allies who dont like your decision"
"37",0,"new vlog on my discussing and the link in bio ed u a u bd ed u b u b"
"38",0,"honouring their marketing slogan the network without equal"
"39",-1,"oh the burn ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a"
"40",1,"what s the point of g it s basically like having no signal"
"41",1,"direct just like the church was in demanding you follow their diktat"
"42",0,"is there a story on i m watching the news"
"43",0,"is there a story on tonight"
"44",0,"is there a story about tonight"
"45",-1,"want the nbn do go though this lot absolutely hopeless no business phone line for over two weeks"
"46",2,"have gone from supporting marriage equality to withdrawing from the debate to now supporting a plebiscite …"
"47",-1,"anyone in having issues specifically with data"
"48",1,"i predict will end up giving give free data to same sex marriage supporters this sunday"
"49",-1,"erm thanks i m expecting it to be as fraught as a call to and as long"
"50",2,"have gone from supporting marriage equality to withdrawing from the debate to now supporting a plebiscite"
"51",0,"media placements are everything"
"52",-1,"has the catholic church sent the same threatening letter to banks to stop them lending to gays yet

 https…"
"53",0,"i ll be taking my business elsewhere as soon as possible 

as for you catholic church yet again you"
"54",2,"if you have a conviction but then it offends a self righteous minority so you dilute your conviction it turns into an ideal instead"
"55",0,"but as soon as my contracts are up i m moving ships"
"56",-1,"the church and its weakening grip over and taxes"
"57",0,"is being paid billion by"
"58",-1,"i m also waiting for catholic church to call malcolm turnbull regarding mathew"
"59",0,"go ed u a u bd ed u b u f ed u a u bd ed u b u f ed u a u bd ed u b u f"
"60",0,"’s marriage equality support as unreliable as their services"
"61",1,"removed its support for same sex allegedly due to pressure from the church"
"62",-1,"shame on you"
"63",1,"after s removal of gay marriage support amp could set up a webpage to help switch custo…"
"64",-3,"such a massive bad decision you have just damaged your brand so badly by caving in to them"
"65",0,"imho given the public hammering is taking any ceo worth their salt is going to think twice about making the same mistake"
"66",0,"telco s like rip the australian people off especially with the amount of credit data given to pre paid customers"
"67",1,"interesting understands your business needs but not your sexuality 
i don t get it"
"68",0,"please come back and fix"
"69",2,"today s thanks for support goes to amp you re golden u u fe f"
"70",-1,"so tried to blame on but with that recovery time we agreed that was inconceivable"
"71",0,"my open letter to"
"72",0,"and are the catholic churches lap dogs"
"73",0,"what a load of bs we support equality but we equally support intolerance"
"74",0,"retreats from a campaign pushing for same sex marriage after pressure from the catholic church"
"75",1,"what about you do you support marriage equality unlike your competitor i need to move asap"
"76",-1,"we tried to sign up a k contract this week and they were disinterested ahh yes big govt contracts go"
"77",-3,"ceo tries desperately and unsuccessfully to back pedal on pr disaster"
"78",-1,"you re such an embarrassment i ll be shopping for a new carrier asap ed u a u bd ed u b u ed u a u bd ed u b u ed u a u bc ed u bf u bb ed u a u bd ed u b u ed u a u bc ed u bf u bc ed u a u bd ed u b u ed u a u bc ed u bf u bf"
"79",2,"we support but we arent going to tell anyone we do 
so to keep the airways clear for bigots 
 https …"
"80",0,"guess the disco phone booths during mardi gras were a selfless act and not a pink washing brand exercise https …"
"81",-1,"telstra losing its thodey mojo to reawaken old memories"
"82",0,"ask lh can i get out of my contract for"
"83",0,"has found a way to travel back to"
"84",-1,"grave concern"
"85",0,"short video regarding my thoughts on and"
"86",0,"shame on you thank god i m with"
"87",-1,"hi my view aust should be dictatorship hope you re allowing room for my diverse ignorant view"
"88",2,"with amp supporting i wonder where the were planning to take their bu…"
"89",0,"an exercise in what not to do with your corporate social responsibility policy"
"90",0,"catholic church silences on same sex marriage https…"
"91",2,"you won t support same sex equality but support the catholic church who try to cover up their perverted child molesting priests"
"92",0,"your holiness are you aware of this"
"93",0,"backs away"
"94",0,"so how many of you pitchforkers cancelled your services today sounds of crickets"
"95",0,"swap with gender equality or racial equality and see how it sounds"
"96",1,"good bye i will be taking my business elsewhere"
"97",-2,"denies backflip is ssm we call bullshit you ve caved in on decency and equity for profit slow hand clap"
"98",2,"supporting equality due to values amp ideals consistent with that cause not to increase custom"
"99",0,"bows to church purse solution switch to amp stop sending kids to catholic schools same sex ads"
"100",0,"australia where a major telecommunications company is controlled by vatican decrees …"
"101",0,"broadband users locked out of hundreds of websites"
"102",-1,"unlikely story from time for some back peddling"
"103",2,"we support but we arent going to tell anyone we do 
so to keep the airways clear for bigots"
"104",0,"the tax free church bullying"
"105",0,"we re live in 
tune into w here"
"106",0,"i d say the bigger pr issue for that it maintains significant commercial ties with a body that covered up the sexua…"
"107",-2,"catholic church forces to backflip on a pro lgbt advert what the fuck this must be a joke"
"108",2,"with amp supporting i wonder where the were planning to take their business"
"109",0,"it is alleged andrew let s not come to conclusions shall we"
"110",-1,"the church s weakening grip over and taxes"
"111",1,"out of respect for opinions we disagree with we will remain silent and let them speak instead 
 

 money
 or whatever"
"112",1,"i predict will end up giving give free data to samesex marriage supporters this sunday"
"113",-1,"telecom giant withdraws support for gay marriage after boycott threat from church"
"114",-1,"a sorry tale of dealing with ’s ‘customer"
"115",0,"we are committed to diversity and equality but only if it benefits our hip pockets otherwise fuck that"
"116",3,"the catholic church 
pinnacle of morality 
covered up child abuse
tells they can t support marriage equality"
"117",-1,"s next regressive policy those found in arrears will now be stoned"
"118",0,"who is advising these people did tony abbott and turnbull start a marketing agency and sell their services to"
"119",0,"fix my services"
"120",-2,"standing by silently consent to what you fail to oppose would you tolerate apartheid too"
"121",0,"folds like cheap suit"
"122",0,"absolutely weak response doesn t want to be a leader like disney salesforce paypal"
"123",-2,"tone deaf platitudes accepting all views especially intolerant ones isn t diversity terrible response"
"124",1,"so it s fine for s coverage to be out but not anyone wanting to get married"
"125",0,"choose to abide by sharia law sponsored by catholic church if you can t beat em you join em they said
 …"
"126",-2,"hey how about dropping the catholic church for their inaction on child abuse"
"127",0,"a relevant point"
"128",-2,"nope not going to buy into that crap 

as i said last night did the deal with the devil over this"
"129",1,"ceo we support it just staying out of it 

bruce springsteen screw the money i have principles 

note the difference"
"130",-1,"so rick norton tell me again why is racism different from homophobia"
"131",1,"is it super bizarre to anyone else that have been silent on sm about acrobatics"
"132",2,"done right thing and pulled out of gay marriage campaign not your turf stick to giving customers free data ev…"
"133",-1,"down again u curse of elop"
"134",1,"there s more important news than"
"135",-1,"apparently archbishops think they have the authority to summon a person on a whim bizarre https …"
"136",0,"will you be switching providers"
"137",0,"are you going to slog me with charges for moving to a more inclusive and equitable broadband provider"
"138",0,"not that i ve seen think people just using"
"139",-1,"apparently archbishops think they have the authority to summon a person on a whim bizarre"
"140",0,"caves in to the catholic church on same sex marriage"
"141",0,"did it"
"142",0,"social media users slam following accusations the telco withdrew support from https t…"
"143",0,"today s"
"144",-1,"excuse me gays is there a hashtag for this backflip"
"145",0,"i finally have it brainwashing"
"146",0,"origin energy sydney airport amp tatts results wrap"
"147",0,"careful who you get into bed with"
"148",1,"cash in transit security service australia wide thanks champ"
"149",2,"this is me normal at work to the right is who for weeks have still not fixed our internet ed u a u bd ed u b u a ed u a u bd ed u b u"
"150",0,"the network without equality da du da du da du du"
"151",1,"australian telecom stood up for traditional marriage and is getting pounded by the take a minute to thank them"
"152",0,"i support and boycott"
"153",-1,"sack george pell release files held at vatican crimes against australian children https…"
"154",1,"backs out supporting marriage pressure from flipboard"
"155",0,"hoping that today is the day that we get internet connected after months ed u a u bd ed u b u a"
"156",0,"’s ‘out of touch’ advice"
"157",1,"what if all providers supported ending discrimination towards lgbti people that would strip the churches of their leverage …"
"158",-1,"very telling bad move"
"159",-1,"i disagree when ppl say all corporates pinkwash but is a prime example of pinkwashing"
"160",-1,"bizarre thing is all the major ones in aus do could have called their bluff"
"161",-1,"learns hard lessons after withdrawing from marriage debate"
"162",1,"will be left with one customer catholic archdiocese of sydney the others are cheaper anyway"
"163",-1,"research shows businesses are punished severely for doing the wrong thing says listen"
"164",-1,"how the hell did get the contract for the pope s hotline to god in the first place"
"165",1,"what if all providers supported ending discrimination towards lgbti people that would strip the churches of their leverage"
"166",2,"well it s really cool have thrown in their lot with the largest enabler of pedophiles worldwide the catholic c…"
"167",1,"wisely has stepped back from paying ransom to on"
"168",1,"i have to wonder why i stay or should i change to pm yesterday to am today and no internet"
"169",1,"hi renee why has bowed to homophobic pressure from the to withdraw support for"
"170",1,"supporting tax exempt organisations that have protected child molesters for decades it s how connects"
"171",0,"lesson of the experience establish your brand values stick to them"
"172",1,"it took multiple network meltdowns for my phone to have better reception inside my house"
"173",0,"hateful removes support for marriage due to pressure from https …"
"174",0,"for with"
"175",-1,"shame on you for allowing religious bigots to sway you"
"176",0,"hit by customer backlash over marriage equality position telstra custom"
"177",0,"amazin etc even listen catholic church in aust
theyr not large in numbers
theyr hiders of child rapists amp lecture us"
"178",2,"sorry but i do not support companies who support bigoted views or support ant vine by"
"179",-1,"it s about time that loudly stated that they will not stand by and have their hard earned dollars be used ag…"
"180",0,"community uses pressure tactics to influence organisations seen as advocacy do the same seen as …"
"181",-2,"the have just announced a spring offensive yet twitter is alarmed by acknowledging its cu…"
"182",-2,"pathetic your loss more ppl at mardi gras than filling churches lily livered sops to profit i ll remember this"
"183",0,"jumping to the tune of catholic church against the lgbt community"
"184",-3,"if only threatening to pull contracts from was the worst thing the catholic church has ever done sadly not"
"185",0,"shame for caving to catholic church amp withdrawing support for …"
"186",1,"ok no more for me u a u fe f telstra caves to pressure from catholic church pulls marriage equality support"
"187",0,"the next step is to ban women anyone taking contraceptives divorcees and those who have had an abortion …"
"188",0,"telstra mobile prepaid discussion part"
"189",0,"will have mbps g in australia this year"
"190",0,"social media users angry as ’s free data day"
"191",0,"disgusting effort by amp proving once again that the almighty always trumps ethics and integrity"
"192",1,"not actively supporting same sex marriage is part of their latest push to reduce instances of being engaged …"
"193",0,"everything will be ok if the gays can wed we in ireland have been there done that amp we are way more catholic than you l…"
"194",0,"everything will be ok if the gays can wed we in ireland have been there done that amp we are way more catholic than you ll ever be"
"195",0,"encore is next tonight amp talk amp"
"196",1,"not actively supporting same sex marriage is part of their latest push to reduce instances of being engaged"
"197",-1,"typical church living in the dark ages as if millennials actually make phone calls anymore ed u a u bd ed u b u bye felicia"
"198",0,"the next step is to ban women anyone taking contraceptives divorcees and those who have had an abortion"
"199",1,"will still provide customer support to married gays"
"200",-1,"shits me that the catholic church has a say in anything you suck"
"201",3,"defeated by the all mighty catholic church like they have a great business record pay no tax and ignore child a use"
"202",-1,"pathetic"
"203",-4,"i am disgusted the catholic church wrote to threatening to boycott their services 
appalled caved in"
"204",1,"thank you and for the the end tickets"
"205",-1,"another depressing day to be gay in australia"
"206",-3,"blackmail all power corrupts absolute power corrupts absolutely"
"207",-1,"thanks for nothing absolutely appalled"
"208",1,"also it s not anti lgbt to support all sides in the debate just as has done"
"209",-1,"sack george pell release files held at vatican crimes against australian children"
"210",0,"would you rather be boycotted by a niche band of bigots or the significantly larger public who now see you as cowa…"
"211",-1,"if only catholic church focused their time on stopping child abuse instead of bullying corporations like over"
"212",0,"as a public body has decided its role is not to express views on our private lives besides the church already ha…"
"213",1,"take economic leverage somewhere that respects all dese…"
"214",2,"take economic leverage somewhere that respects all deserve better"
"215",1,"back to copper wire with no nbn or fast internet now no equality"
"216",1,"removed its support for same sex marriage allegedly due to pressure from the catholic church"
"217",-1,"all companies should follow example in declining to bow to demands for to promote amp fund"
"218",1,"i wonder the data count for the exodus from due to this eh"
"219",-1,"businesses should be refusing to deal with the catholic church not the other way around"
"220",0,"as a valued customer this decision has left me feeling devalued"
"221",2,"or encourage the other telcos to show some solidarity"
"222",0,"gay how marketers brands target the market"
"223",-1,"you have caved in to bullies"
"224",-1,"i m interested to know too in the same situation time to ditch and their unreliable network"
"225",-1,"prosecute cardinal george pell for all the cover ups in australia"
"226",1,"pulled its support for marriage equality pull your contracts"
"227",0,"george pell phone home there s a telstra technician cutting the videolink to rome"
"228",1,"i see can be intimidated by the church 

not impressed 

 for all please"
"229",1,"ohhhhhhh yeeeeeeeeeeeeeeees jim wallace let me rim you my tongue will give your anus a heavenly experience"
"230",1,"ohhhhhhhhhhh yeeeeeeeeeeeeeeeeeeees jim wallace my mouth is so hungry for your magnificent penis feed it"
"231",0,"would you pay a month to experience this"
"232",1,"ohhhhhhhhh yeeeeeeeeeeeeeeeeees jim wallace make my bobs jiggle around whilst i ride your magnificent penis"
"233",0,"mbit fiber and i cant even watch a fucking youtube video without buffering great internet you have there rolls eyes"
"234",-1,"the struggle is real coming up w something but i imagine it has to do with santorum"
"235",0,"what do we call when a corporation stops pinkwashing to appease christians beigewashing"
"236",-1,"shame that has hung up on supporting same sex marriage in australia"
"237",3,"with coverage as reliable as its support for equality will never be there when the going gets tough"
"238",0,"u u u u withdraws from debate allegedly due to church pressure"
"239",0,"the is an obscenity against all that is decent"
"240",0,"that s gr but all i get is a recoded message saying they are closed i m a biz owner amp need internet to earn"
"241",-1,"backflip tomorrow can t wait"
"242",0,"it’s time for 
this tweet was brought to you by wifi"
"243",0,"what s the go in glen iris vic re foxtel amp broadband neither working amp no answer on when we ll b connected"
"244",0,"catholic church archdiocese of sydney look up under"
"245",2,"well it s really cool have thrown in their lot with the largest enabler of pedophiles worldwide the catholic church"
"246",0,"backs off from hooray telstra s job is not to be a tool of crazy homosexual politics"
"247",0,"s next move will be to"
"248",2,"telstra really not having a good time of late glad i m not with them"
"249",1,"opts out of s hooray—reasonable consumers amp investors will applaud"
"250",-1,"if wants to avoid a boycott back flipping on probably isn t how to do it"
"251",0,"look the catholic church strong arms weak orgs like about equality but can t fix its own pedophile problem https …"
"252",0,"cut amp pasted from the usual rule book have another read of the tweets"
"253",1,"cloudflare s analysis on bandwidth costs in australia doesn t paint a great picture of"
"254",1,"is right decent people might well boycott companies backing mad aims of like pervert"
"255",-1,"how can you help me my gay friends amp allies move our accounts from after its debacle today"
"256",1,"backtracks on good companies should avoid or be boycotted if they back"
"257",0,"this is why i m inclined to think that"
"258",-1,"hello hello catholic church powerbrokers of sydney … i think you may have a bad line wendy tuohy"
"259",1,"i will be contacting the archdiocese of sydney to explain my sudden interest in organising to remove their tax free statu…"
"260",1,"first bridges then badger businesses into withdrawing support for equality apparently"
"261",-1,"an absolute disgrace"
"262",1,"go back to being a telco and get that right"
"263",-1,"totally disappointed in for not standing up to the australia would have stood behind you"
"264",2,"thank a brand that supports just tag amp the brand not u thanks u u fe f https…"
"265",0,"and i have no plans on recontracting my service"
"266",0,"thanks for the incentive for me to find another provider"
"267",-1,"hey dig up stupid"
"268",0,"can t do graphics on my mobile but you get the gist l u d l"
"269",-1,"just trying to take the emphasis off their lousy service"
"270",1,"why investors should not support telstra amp s global expansion"
"271",1,"happy to be an optus customer for the first time in about years lol"
"272",-1,"ed u a u bd ed u b u braddon telstra building evacuated after gas smell detected"
"273",0,"manalto ltd signs distribution deal with telstra"
"274",1,"withdraws support for in australia"
"275",0,"in the southern us companies are pulling out because of anti equality leg in oz is pulling out of equality"
"276",-2,"so disappointed shame on u"
"277",1,"lol why does need opinions on things it s not like maccas is against same sex marriage telstra just didn t need to comment"
"278",1,"this was the platform to support fundamental rights"
"279",-1,"what a disgraceful company is this is and not the s"
"280",1,"free movies amp tv shows"
"281",1,"so has aligned itself with child sex abusers amp rapists charming ed u a u bd ed u b u e"
"282",0,"who within the corporation thought hey you know what s good for business discrimination …"
"283",-1,"left awful ages ago but i m jealous of those who get to withdraw support from them now"
"284",0,"telstra withdraws from…"
"285",1,"i m assuming the community will be getting free data on sunday"
"286",2,"sorry but i do not support companies who support bigoted views or support anti"
"287",0,"australia where a major telecommunications company is controlled by vatican decrees"
"288",1,"hey after years i just switched to if ur going to be silent about my equal rights you don t get…"
"289",-1,"telstra s epic fail
not the fear of god but the
fear of catholics

ian row"
"290",-1,"a very bad business decision and one that could see supporters of boycot your services https …"
"291",0,"who even uses telstra anymore"
"292",0,"o kosmos greek newspaper features my images from last weekend"
"293",0,"ed u a u bd ed u b u a manalto ltd signs distribution deal with telstra"
"294",0,"ed u a u bd ed u b u b telstra appoints ex amp boss craig dunn as director"
"295",1,"ed u a u bd ed u b u why investors should not support telstra amp s global expansion"
"296",2,"wow after years of loyal service you have finally given me a reason to look elsewhere for all my services"
"297",-1,"hey gang are u guys doing a story on and their withdrawal on marriage tonight been waiting all day haha"
"298",0,"next data free day customers should bulk download brokeback mountain in protest of their spineless telco"
"299",0,"is"
"300",1,"has withdrawn its support to after being blackmailed by and the catholic church"
"301",2,"thank a brand that supports just tag amp the brand not u thanks u u fe f"
"302",0,"telstra gives in to roman catholic church blackmail over but is better"
"303",-3,"dear if you want to avoid controversial issues consider cutting your commercial ties w an institution that covers up child rape ed u a u bd ed u b u"
"304",2,"i m having a to thank all brands that support bad luck none for you"
"305",2,"what if the alp wins the next election or lnp cancel the plebiscite you still going to abandon your support for equality"
"306",0,"not sure of the relationship between the church amp cath ed though if church doesn t own the schools though …"
"307",1,"not happy jan"
"308",-1,"shame on you for bowing to the catholic church"
"309",0,"not sure of the relationship between the church amp cath ed though if church doesn t own the schools though equality"
"310",0,"bends over for the church the same church that hides pedophiles"
"311",1,"new telstra bonds benefit from ecb buying programme"
"312",0,"wow disappoints multiple times with its service and now with its morals around"
"313",0,"it s about time the govt funded bigots in the catholic church stayed paying taxes if they want to state dictating public policy"
"314",0,"thinks support for gay marriage is ideology f k you the only ideology is coming from hateful christians htt…"
"315",1,"hey after years i just switched to if ur going to be silent about my equal rights you don t get my pink"
"316",0,"i know everyone s crapping on rn but this really does look like a threatened secondary boycott to me"
"317",1,"after s removal of gay marriage support amp could set up a webpage to help switch customers over to them"
"318",-1,"hell hath no fury like a customer not under contract"
"319",-2,"shame on you your marriage equality support is as unreliable as your shit services"
"320",0,"tech leaders in australia vs tech leaders in america on"
"321",0,"it s"
"322",2,"congratulations great decision"
"323",-1,"strange stance on for a tax payer funded and tax exempt corporation maybe we need to change that"
"324",-2,"cancel it on that basis will have no choice which telco did you port from problem is alternative coverage crappy"
"325",0,"so disappointed with your change in position super low move"
"326",1,"mmmm point to note catholicism isn t a religion it s a denomination of the christian faith"
"327",0,"take economic leverage somewhere that respects all telco consumers do not need to tolerate corporate hate"
"328",1,"absolutely i wish i had never moved to a few weeks ago now have contract but won t renew"
"329",1,"wondering if you have a remark about as they re a member org how can we support internal staff"
