"","score","text"
"636",-1,"apparently are able to resolve my month old complaint without reading any file notes about it"
"637",0,"s it gets better campaign video from is just all sorts of embarrassing now"
"638",0,"found spine i think it belongs to"
"639",0,"re baptising"
"640",0,"in same sex ad flip"
"641",1,"pulling support for may well be the dumbest and biggest social mistake you have ever made …"
"642",0,"corporate continues renewal push expands board with the appointment of former amp ceo craig dunn as a non executive director"
"643",0,"again again again again the crap this morning is why we shouldn t praise corporates for appearing to support issues we value"
"644",0,"bring on today"
"645",1,"pulling support for may well be the dumbest and biggest social mistake you have ever made"
"646",0,"former amp joining board"
"647",0,"gurrowa lab"
"648",0,"gurrowa lab telstra"
"649",1,"strides into sdn with vpns dynamic wans"
"650",0,"why is internet being so"
"651",0,"your rates are so cheap k and i get mb wow where do i sign up"
"652",-1,"why is the internet so slow"
"653",1,"great new data deal from telstra"
"654",1,"is being paid billion by the nbn to upgrade the network it sold to the nbn business insider"
"655",1,"many thanks again to australias leading rd world communications clusterfuck"
"656",0,"ahahahahahaha hahahaha haha hahahahahahaha ahahahahahaha hahaha hahhahahahah 

oh this is mbit btw"
"657",0,"check out my ookla speedtest result what s your speed"
"658",0,"looks like a premium sms style scam shrugs and points you to number to unsubscribe no website…"
"659",0,"telstra appoints ex amp boss as director"
"660",0,"it just rained here and my internet speed is dropping quality copper cabling"
"661",0,"australian govt chairman joins board"
"662",0,"thanks"
"663",0,"new perth singapore cable on its way"
"664",-1,"yr sorry then tweet to your k followers to alert everyone to check their bills for charges by …"
"665",-1,"telstra your customer service is appalling every time i have to deal with you"
"666",0,"no telstra"
"667",1,"i’m in the middle of nowhere but i still have a strong g connection this is why i choose"
"668",0,"pls see accc consumer harrasment calls a day about a bill i have paid is considerd harrasment"
"669",1,"someone forgot to turn on again this morning hardly enough coverage to send a tweet"
"670",-1,"’s billion contract raises competition concerns"
"671",0,"is on web"
"672",0,"will its of g at the"
"673",-1,"billion deal with nbn company raises fears with watchdog"
"674",0,"transforms its retail stores with"
"675",1,"wonder if the in from to liberals in one year has anything to do with policy"
"676",0,"telstra needs to pull their heads in and their socks up"
"677",1,"kung gusto mo mamatay maga philcare kunin mo"
"678",-1,"customers get no advance warning of no compensation offer no apology switching carrier soon"
"679",0,"got home and my broadband has finally been connected only weeks after moving in"
"680",-1,"i m still mad about see you later"
"681",-1,"you couldn t make this shit up gives b of taxpayer money to polish the hfc turd that we v…"
"682",-3,"breaking 
 amp sign new contract to guarantee slower speeds than fibre optics dumb expensive late 
 …"
"683",1,"acknowledge that in all my dealings only one employee up the line was officious all others were courteous amp helpful as poss"
"684",-1,"whatever happened was there a pay off somewhere or intimidation of some sort"
"685",0,"another day without reliable internet another day losing money"
"686",1,"blockbuster day of data sets new telstra mobile network record"
"687",0,"in the last months have you seen any advertising from"
"688",2,"a company that stops rereads
 
 a company that has a network that is fast enough for your needs"
"689",0,"b
for each statement please indicate the extent you agree with how that statement describes"
"690",0,"at least google knew what i meant"
"691",0,"why can i get reception in the middle of port phillip bay but not in my lounge room in werribee"
"692",-1,"deal raises competition concerns with"
"693",0,"have you ever had a technician visit your home
 
 all embarrassed about copper pit at bottom of street fill…"
"694",1,"how would you rate on each of the following 
 the accuracy of telstra s billing 
superb it finally proved my case"
"695",2,"how would you rate on each of the following 
ease of paying bills
 surprise got that one right"
"696",1,"is being paid billion by the to upgrade the network it sold to the"
"697",0,"have you ever had a technician visit your home
 
 all embarrassed about copper pit at bottom of street filled with water"
"698",1,"have you ever called for 
 like months ending with bbguarantee intervention"
"699",1,"pt scale 
how likely would you be to recommend to a friend or colleague"
"700",2,"love paying for gb love living on a farmmmmmm ed u a u bd ed u b u ed u a u bd ed u b u"
"701",-2,"there seems to be always a scandal at as their service keeps dropping out and is in shambles"
"702",-1,"telstra inks b nbn deal accc raises concerns"
"703",2,"found your press release fast affordable sooner"
"704",-1,"you couldn t make this shit up gives b of taxpayer money to polish the hfc turd that we ve already bought"
"705",0,"basically zero wifi for at least the rest of the day thanks ed u a u bd ed u b u a"
"706",0,"quelle surprise and hand their mates at another b for outdated coax https …"
"707",0,"talent helps vendor target s epidemic"
"708",0,"quelle surprise and hand their mates at another b for outdated coax"
"709",-3,"breaking 
 amp sign new contract to guarantee slower speeds than fibre optics dumb expensive late"
"710",0,"how to use telstra prepaid to pay for google play"
"711",0,"will s new deal simply mean stiffer competition within the market"
"712",-1,"s construction deal raises competition worries"
"713",1,"if only still public then all telcos could have equitable access to cu air internet cld b x all aus"
"714",0,"deal with national broadband network alarms regulator"
"715",1,"huge delivery agreement w for interesting political comment sure to follow"
"716",0,"why is my bill more after a week outage"
"717",0,"looks like might be having problems again account checking is down again"
"718",0,"being paid to fix telstra s network for nbn – again"
"719",-1,"sucks big time trying to do uni work and internet is slow and drops out every two minutes"
"720",-1,"ha you should try living in rural australia and having to struggle with when it s working ed u a u bd ed u b u ab ed u a u bd ed u b u a"
"721",1,"gives b to upgrade hfc cable network"
"722",0,"did someone at forget to turn on the coverage this morning hard to find enough to post a tweet"
"723",0,"how to turn a constructive morning into a frozen to do 
too often"
"724",1,"internet how do you free uo the market to competition words why did pull out"
"725",-1,"this john szaszvari kid gets a test day offer from for pretty much being a leech shows everything wrong with society"
"726",0,"kaya ipasok na ang para lamunin ng buhay ang"
"727",1,"i need you i need you i need you right now"
"728",-1,"get your shit together"
"729",0,"hey if i listen to a radio broadcast of the footy on the app is it unmetered on a pre paid mobile"
"730",-3,"something funny for your sunday night the dark ritual of line faults"
"731",0,"could you suggest"
"732",0,"australia is outpacing the in adoption"
"733",1,"why can t you ever be stable even for a single month is it too much to ask when i pay premium fee"
"734",2,"if i get mbps with telstra here in nth qld i get excited promised amp i m paying for adsl"
"735",1,"i see have changed their tune on the free data guy"
"736",0,"highpoint shopping…"
"737",2,"national treasure uses a terabyte of on s unlimited data day"
"738",2,"australia s best pirate aka free data guy gets a job offer involving more pirating from"
"739",-1,"speedtest result pay a premium and this the internet speed delivered by utter crap"
"740",1,"weeks since had modem for internet connection from telstra and nbn progress made after calls with tech team"
"741",0,"g lte coming to aldi mobile in may"
"742",0,"which australian mobile network are you with"
"743",-1,"thought was meant to better in regional areas moree nsw trying to watch the nrl terrible on but no issues"
"744",2,"‘free data guy’ who took to town with free downloads offered job he can t resist"
"745",0,"i know have transferred their calling centres overseas how come it takes a minimum of minutes b calls are answered"
"746",-3,"crickets chirp waiting for a response from is like waiting for hell to freeze over"
"747",0,"hating my internet so much right now days i can t record due to ping"
"748",1,"i m almost glad that my afl live pass isn t accessible fail"
"749",0,"i still don t have phone and internet"
"750",-1,"moved into our house over weeks ago and still no phone and still no date for installation this is why people hate"
"751",0,"rla gt"
"752",1,"telstra free data guy john szaszvari working for them"
"753",0,"mbps download just kms by road from where flew to launch new mobile tower ed u a u bd ed u b u a"
"754",0,"dammit my phone needs a bunch of app amp software updates again ed u a u bd ed u b u a time for another so we get another"
"755",0,"australia is outpacing the us in iot adoption telstra cto"
"756",-1,"i ll be watching on my phone amp don t disappoint today pleeeeeassse"
"757",0,"tb downloaded sydney man smashes record"
"758",0,"“technology is very very new first company in the entire world to do something with it"
"759",0,"’s “world first” offer to data download guy"
"760",0,"terrible mobile phone reception again i m down to one bar and where i live most of the time it s heaps better"
"761",0,"by"
"762",1,"did anyone else with notice a massive data usage on tuesday th april ie days after the “free data sunday” let me know thanks"
"763",0,"outage what s goin on"
"764",2,"check out my ookla speedtest result super fast cable broadband helpline please"
"765",0,"free data guy to test drive gbps modem despite admitting illegal downloads"
"766",0,"u b australia is outpacing the in adoption cto"
"767",0,"offers data guy a deal that could change the way australia uses the internet"
"768",0,"telstra done fked up i get my neighbours calls and they get mine haven t had homephone and internet for a week"
"769",0,"on its way yet can t get m on flagship device in say ask carrier say ask samsung"
"770",1,"same goes for pricks it s hard but i won t even call pricks well i ll try my hardest"
"771",0,"telstra sigh"
"772",-1,"your service is a disgrace"
"773",2,"telstra thanks is rewarding you with a keith urban pre sale reward keith urban"
"774",1,"thanks everyone in this photo for making today so awesome d …"
"775",1,"there isn t enough bandwidth in the lanecove tunnel"
"776",-1,"risks exodus unless it repairs its severed connection with customers"
"777",1,"why go and listen to a man who s ways amp application of change is destroying a once good company"
"778",0,"australia is outpacing the us in iot adoption cto"
"779",0,"are you listening to your customers"
"780",0,"are you listening"
"781",1,"why does it take another weeks to correct your error so my family has home amp internet today like we ordered weeks ago"
"782",-1,"hey i asked for phone amp internet to be connected today you re now telling me it s another weeks due you your error"
"783",0,"waited all day for guess what why make appointments and cant keep them ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a"
"784",0,"mobile test wireless technology with speeds never seen before in this country"
"785",0,"automatic package ticks last day of contract"
"786",2,"sign p work 
given date 
confirmed 
told won t be for at least another days"
"787",-1,"is having issues in syd cbd no one has reception"
"788",-2,"should know it s driving customers mad with it completely disrupts my wifi finally eliminated it amp no more disruption"
"789",0,"you didn t need to spend to open a mobile phone base really"
"790",0,"another one"
"791",1,"from tech tony yesterday pic amp today get internet working well played sir give him a raise"
"792",2,"how many free days of travel would we get if apologised for outages like"
"793",0,"one thing"
"794",0,"australia is outpacing the us in adoption cto"
"795",1,"super taps willis towers watson veteran as cio"
"796",1,"the white pages and landlines work with no internet"
"797",0,"no internet for the next days family and kids are already pissed off thanks"
"798",-1,"register on the do not call register with telstra same evening i get a scam call asking me to pay a fee to register"
"799",0,"wow you put me on hold for h min and no reply no internet at home disgusting service we should change the provider"
"800",0,"keeps heat on with offers"
"801",0,"our minds on show"
"802",0,"i got a call about my plan and was told one thing then i went to shop and got another story"
"803",-1,"samsung mobile amp telstra service rubbish"
"804",1,"need to know how to set up telstra advise this advice requires platnium support porn kids"
"805",1,"vodafone make mobile progress"
"806",-1,"customers complain about slow speeds on free data day"
"807",0,"the time has come kick off session happening in few hours"
"808",0,"telstra conducting network review after outages"
"809",-3,"sadly falling short fail but we all know this"
"810",0,"okay just spent hour and minutes on the phone to trying to make an appointment with a technician still no joy what a joke"
"811",0,"telling me i d have to try another device o i did finally get it to play the next day"
"812",1,"got upgraded to adsl telstra sent me a video explaining how my new bill would look wouldn t open got pop up"
"813",1,"think there was slight improvement at rd try sounds good awful visually common to this area i m told"
"814",1,"we’re getting another free data day after massive"
"815",0,"telstra conducting network review read"
"816",0,"what is the future of technical adelaide"
"817",0,"ceo wants investors paid for long term bets"
"818",0,"…"
"819",1,"how have the outages effected you is it enough to have you re think your custom"
"820",1,"thanks for no internet or foxtel telstra really appreciate not having any internet or tv since am ed u a u bd ed u b u d ed u a u bd ed u b u d"
"821",1,"great to see is outpacing the us in adoption cto"
"822",0,"new gb plans coming to regions"
"823",0,"for every day our business internet is down a"
"824",0,"speed i dont think so"
"825",-1,"no one can hear me talk on the my mobile phone other side said all break up words fix it now"
"826",-1,"they are asking me to be accountable for a limitation that they have in regards to their agreements with"
"827",0,"this is how i feel when i hear the wifi is back up and running"
"828",0,"living in the"
"829",1,"i am trying to leave but their cust service is so good i am finding it hard to let go thank you digant from"
"830",0,"technology may save community nurses millions of"
"831",-2,"would you look at that my internet is down again same issue no compensation and my time wasted thanks ed u a u bd ed u b u d ed u a u bc ed u bf u bb"
"832",0,"just joined the line at hobart am ppl in front of me"
"833",0,"u aa u fc u b u c u e u ea u a u e u a u d u b u bf u a u eb u d u b u cd u b u u a u u a u e f u u a u f u bf u fc u cd u c u c u"
"834",-1,"users break download record"
"835",0,"businesses out of pocket after ’s nationwide outage"
"836",0,"telstra 

mobilfunkkunde nutzt tbyte an einem tag"
"837",0,"hires cisco ericsson juniper to assess network after outages"
"838",1,"offers second free data day after millions hit by"
"839",0,"some people are still using g phones and not…"
"840",0,"mullaley residents take on over phone outages"
"841",-1,"aaaww shucks thankfully i pick up coverage when i m out and some wi fi crazy isn t it"
"842",0,"get wi fi capabilities thanks to"
"843",2,"i m so glad i m paying for cable speeds those speed boost packs really help a whole bunch"
"844",0,"s outage map tonight i m done with you telstra its time we started seeing other people https …"
"845",0,"s outage map tonight i m done with you telstra its time we started seeing other people"
"846",3,"why the data guy won t apologise for downloading worth of free data"
"847",0,"’s chief operations officer kate mckenzie brings"
"848",-1,"intermittent problems with broadband for weeks very helpful call centre guy but telstra what s happening"
"849",-2,"so angry the rudest and most offensive customer service officer at on the phone just now still fuming hou…"
"850",-2,"so angry the rudest and most offensive customer service officer at on the phone just now still fuming hour phone call"
"851",0,"i almost never have g these days what happened to you"
"852",0,"some people are still using phones and not for the reasons you d expect"
"853",0,"talking about businesses of the future"
"854",1,"telstra free data day one user downloaded a whopping gigabytes of data maybe should give him a"
"855",0,"some people are still using"
"856",0,"and are keen to lure customers away from"
"857",0,"some people are still using g phones and not for…"
"858",0,"some people are still using g phones and…"
"859",0,"sl th some people are still using g phones and not for the reasons you d expect"
"860",0,"some people are still using g phones and not for the reasons you d expect"
"861",2,"reminder is giving away unlimited free data this sunday"
"862",-1,"am a small business owner and our internet is an absolute joke hard to be a productive member of the economy"
"863",-3,"a typical day on adsl copper packet loss unusable joke"
"864",0,"customers feedup with outages contact sm homies dan tris amp crew sign up for the day trial"
"865",1,"and now up to a nice packetloss go copper"
"866",-1,"mona vale to church point has old infrastructure and all ever does is the bare minimum this has been an issue for years"
"867",0,"thanks for the crap service get your act together and upgrade amp maintain the northern beaches phones out is not ok"
"868",0,"plus interest cheque in the mail thankyou"
"869",-1,"thing you were made aware made the error fix it thanks"
"870",1,"plus interest i made you aware now it s time to do the right"
"871",0,"i emailed they ignored me my proof emails now you owe"
"872",0,"at the address it was connected to i was not at i rang they still"
"873",0,"customers hit by nationwide outage"
"874",0,"how can bill me for two years for a landline service at the"
"875",2,"so i can confirm that twitter does indeed enhance modern life 
and that does not"
"876",0,"inside network woes what happened"
"877",-2,"people complaining about data guy ruining it for everyone need to learn about technology"
"878",0,"restoring services after nationwide mobile phone outage"
"879",2,"i m ready had enough of the whole company is a shambles from top to bottom i m looking to go to"
"880",0,"so have finally provided an explanation for their network outages 
but personally i still think it s this https t…"
"881",-4,"apparently poor copper wire is causing problem amp our computer drops out we pay for poor service your problem telstra"
"882",3,"says tough luck can t stop your connections dropping out not good enough telstra complaint no we pay no service"
"883",1,"jenny west nsw sales and service director telstra sharing her early negotiating skill development https …"
"884",0,"annnnnd i m back on the phone to 

 ed u a u bd ed u b u ed u a u bd ed u b u ed u a u bd ed u b u"
"885",0,"government to review uso"
"886",1,"free data guy clocks up almost a of downloads"
"887",0,"april updates are live would you know if aussie providers are blocking"
"888",0,"process over insights on enterprise social"
"889",1,"jenny west nsw sales and service director telstra sharing her early negotiating skill development"
"890",-2,"why s network problems could cause long term damage"
"891",0,"perhaps optus can provide me with internet postcode"
"892",0,"perth to singapore subsea cable singtel joins"
"893",-1,"network speed strained as aussies break telstra s free data day record"
"894",-1,"suspicion and manouevering behind and news corp’s"
"895",2,"the guy who downloaded gb of data on free data day because they were impinging on his basic human right to internet ed u a u be ed u b u ed u a u bd ed u b u bb u ed u a u bd ed u b u"
"896",-1,"did data guy ruin it for us"
"897",2,"people like you are why we can t have nice things data guy accused of"
"898",-1,"terrible outages everything you didn t want to know you can now know"
"899",-1,"strike again telling us we used gb of data in hrs you speed would allow a max of gb"
"900",0,"bitches don t know about my jumps"
"901",0,"no internet in altona meadows for adsl"
"902",1,"almost time for that classic line don t you know who i am"
"903",1,"suse barnes happygrumpy score is happy find out more at"
"904",-1,"for every day our business internet is down a penguin dies please help us amp the penguins 
 ed u a u bd ed u b u ad ed u a u bd ed u b u a"
"905",0,"you guys are killing our business over days no internet work phone or emails ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a ed"
"906",0,"hires to assess after multiple outages"
"907",-2,"seriously are blaming this guy for slowing down speeds sydney wide they slowed it down for the hell of it"
"908",1,"you charge customes like wounded bulks and do not provide the service for which you repeatedly take money"
"909",2,"would love to have internet access on my g card right now"
"910",1,"telstra super appoints cio from willis towers watson"
"911",-1,"terrible telstra outages everything you didn t want to know you can now know"
"912",-1,"terrible telstra outages everything you didn t want to know you can now know sydney — during…"
"913",0,"enjoy terrible outages everything you didn t want to know you can now know"
"914",0,"now it loads"
"915",1,"spoke with data guy won’t apologise for downloading gb worth of content blames telstra https t…"
"916",1,"spoke with data guy won’t apologise for downloading gb worth of content blames telstra"
"917",0,"wants suppliers to explain why its network keeps going down"
"918",0,"data guy’s downloads were equivalent to this much cash"
"919",-1,"again no coverage don t tell me to turn my device off and on again it s your problem not mine"
"920",1,"free of charge data day april"
"921",1,"free guy devours almost tb in a day way to go"
"922",0,"for with day"
"923",0,"finally explains repeated outages"
"924",0,"telstra mobile broadband outages finally explained"
"925",0,"telstra finally explains outages"
"926",2,"s free data day leads to tb usage by one resident
read more"
"927",1,"telstra s support for same sex marriage will be interrupted from pm til am every thursday and sunday 
 …"
"928",0,"is discriminating against me and only giving me g signal"
"929",0,"s l o w c l a p"
"930",3,"my mum is awesome from supporting a basic human right"
"931",-1,"is there a in the area cloud based office ground to a halt with no internet"
"932",-1,"really disappointed in wasn t good but retracting support is weak shameful and m…"
"933",-1,"i m sorry i ve stayed away so long but will you have me and all my gays ed u a u bc ed u bc u ed u a u bd ed u b u ad"
"934",-2,"the catholic church must have a hell of a lot on money invested in this company a hell of a lot"
"935",-2,"really disappointed in wasn t good but retracting support is weak shameful and misguided"
"936",0,"i’m gonna start using my data exclusively for grindr and hardcore gay porn …"
"937",0,"i’m gonna start using my data exclusively for grindr and hardcore gay porn"
"938",2,"so telstra how much does supporting freedom cost"
"939",0,"i m with dodo and which runs via a telstra phone line and that s down too"
"940",1,"telstra s support for same sex marriage will be interrupted from pm til am every thursday and sunday"
"941",-1,"fuck you i will never support your brand ever again you backward cowards"
"942",-2,"what a disaster telstra you never give in to terrorism"
"943",-2,"service amp catholic church service both grossly inadequate for the needs of the st century"
"944",0,"perhaps are hoping for another to stop people from calling to leave"
"945",-1,"is there a risk those rainbow colours will cause a"
"946",0,"i love how catholic church is trending for all the wrong reasons"
"947",0,"yesterday i was h from melbourne and could hardly get mobile signal what is the site to check outages"
"948",1,"ftw since sunday i have had to deal wit dial up speed"
"949",0,"backs down on after catholic church threatens to excommunicate its telephone lines"
"950",0,"since march fed up"
"951",2,"more outages this morning enough is enough"
"952",0,"is there another outage"
"953",0,"what is going on today"
"954",0,"no coverage fitzroy"
"955",0,"says it all"
"956",-1,"we were told would be until april shop today advises the lack of service will be until th april"
"957",1,"hehehe
 a company that has a reliable network"
"958",0,"so over it my data has not been working all day"
"959",0,"you fkn reckon how about every day for the last month"
"960",0,"actually according to your link your experiencing long delays 
priceless"
"961",0,"gutted minutes to go in nail biter does it again"
"962",0,"what is happening in mont albert victoria just been told we will have no internet for days no info on website"
"963",0,"we have no internet and no phone connection for the last days what s going on post code rivervale wa"
"964",1,"entitled to more than a free data day assoc prof aviva freilich explains"
"965",0,"edge i m on the edge network atm that s how patchy your reception is"
"966",0,"another telstra outage for home internet with a day etc and no explanation anymore more info"
"967",0,"news at"
"968",-1,"is anyone else have tech issues with telstra broadband cable"
"969",0,"is permanent in coolangatta"
"970",0,"how does a service start working after days with zero communications from any service provider"
"971",-1,"the reason behind last nites it s just not funny anymore compensation please"
"972",-1,"to the extreme side outages over many days is crap"
"973",0,"it is still down with no plan or communication to resolve all round f n"
"974",1,"looks like another"
"975",0,"my newest article"
"976",-1,"no adsl at here we go again time for some monetary compensation for lost services"
"977",0,"hey no internet here at"
"978",0,"more no internet what are you doing"
"979",-2,"don t know but people are reporting issues i am also having issues"
"980",0,"lot s of problems right now getting pissed"
"981",0,"no broadband again"
"982",1,"looks like another bendigo and victoria no data for the past hour"
"983",0,"checkout why broadband internet amp wifi down in"
"984",-1,"another at postcode this is getting beyond a joke"
"985",0,"days after i report an outage that both you and know nothing about another is know known"
"986",-1,"adsl in surfside is so slow"
"987",0,"again no cable broadband in north manly"
"988",1,"reported outage with cable broadband yesterday effects service no updates even though they promised"
"989",2,"day of interesting how the service status page isn t mobile friendly"
"990",-1,"wtf is this network couldn t even watch the movie online is there any way i can get rid of this"
"991",-1,"umm yes i would if your service hadn t become as bad as used to be"
"992",-1,"unable to make calls send texts receive calls another pcode ed u a u bd ed u b u"
"993",-1,"wtf"
"994",0,"network outages finally explained"
"995",2,"now my messagebank is not available after missing an important call telstra is getting seriously random"
